Name,RT,Volume,Log P,Anchor,prefix,suffix,a,b,c,prefix_d,prefix_e,prefix_f,sugar_count,classification,outlier_reason,regression_group,priority_series,regression_r_squared,regression_equation,regression_p_value
GD1+dHex(36:1;O2),9.56,9721932,0.43,T,GD1+dHex,(36:1;O2),36,1,O2,G,D,1,7,outlier,isomer_rule,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(36:1;O2),9.893,28336,0.43,F,GD1+dHex,(36:1;O2),36,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(37:1;O2),10.34,158106,0.98,F,GD1+dHex,(37:1;O2),37,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(38:1;O2),11.083,13041753,1.52,T,GD1+dHex,(38:1;O2),38,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(39:1;O2),11.828,142828,2.06,F,GD1+dHex,(39:1;O2),39,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(40:1;O2),12.51,596067,2.6,T,GD1+dHex,(40:1;O2),40,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(41:1;O2),13.219,31474,3.14,F,GD1+dHex,(41:1;O2),41,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex+OAc(36:1;O2),9.653,953170,1.01,F,GD1+dHex+OAc,(36:1;O2),36,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+dHex+OAc_c_O2,,0.9997,RT = 1.3512 * LogP + 8.3016,1.0089e-02
GD1+dHex+OAc(38:1;O2),11.166,1200250,2.1,F,GD1+dHex+OAc,(38:1;O2),38,1,O2,G,D,1,7,true,,GD1+dHex+OAc_c_O2,,0.9997,RT = 1.3512 * LogP + 8.3016,1.0089e-02
GD1+dHex+OAc(40:1;O2),12.585,48662,3.18,F,GD1+dHex+OAc,(40:1;O2),40,1,O2,G,D,1,7,true,,GD1+dHex+OAc_c_O2,,0.9997,RT = 1.3512 * LogP + 8.3016,1.0089e-02
GD1+Hex+HexNAc+OAc(36:1;O2),9.618,48819,-1.64,F,GD1+Hex+HexNAc+OAc,(36:1;O2),36,1,O2,G,D,1,7,outlier,OAc_rule_violation,,,,,
GD1+HexNAc(34:1;O2),7.417,155197,-1.7,F,GD1+HexNAc,(34:1;O2),34,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
